team,ft_rate,team_key,three_rate,two_rate,two_pt_pct,three_pt_pct,efg_pct,pace,off_rating,def_rating,turnover_rate,ast_rate,orb_rate,net_rating,shot_selection_balance,source_season_label,source_date
Buffalo,0.284,buffalo,0.455,0.545,0.541,0.38,0.5539999999999999,69.6,111.4,110.60000000000001,0.158,0.544,0.256,0.7999999999999972,0.17100000000000004,2025,2026-03-18
Butler,0.304,butler,0.349,0.6509999999999999,0.519,0.327,0.509,73.2,108.4,105.89999999999999,0.155,0.572,0.317,2.500000000000014,0.044999999999999984,2025,2026-03-18
BYU,0.256,byu,0.39799999999999996,0.602,0.562,0.349,0.547,72.7,115.39999999999999,103.60000000000001,0.15,0.454,0.325,11.799999999999983,0.14199999999999996,2025,2026-03-18
C Arkansas,0.23600000000000002,c arkansas,0.48700000000000004,0.513,0.547,0.355,0.54,71.9,110.2,105.60000000000001,0.15,0.58,0.262,4.599999999999994,0.251,2025,2026-03-18
C Connecticut,0.233,c connecticut,0.349,0.6509999999999999,0.505,0.358,0.516,66.9,105.5,107.60000000000001,0.159,0.509,0.255,-2.1000000000000085,0.11599999999999996,2025,2026-03-18
C Michigan,0.22899999999999998,c michigan,0.34,0.66,0.522,0.33899999999999997,0.518,69.7,102.8,111.4,0.17800000000000002,0.549,0.278,-8.600000000000009,0.11100000000000004,2025,2026-03-18
Cal Baptist,0.262,cal baptist,0.321,0.679,0.47700000000000004,0.337,0.486,70.0,104.4,96.6,0.177,0.404,0.36,7.800000000000011,0.059,2025,2026-03-18
Cal Poly,0.249,cal poly,0.526,0.474,0.537,0.33,0.515,78.3,103.89999999999999,109.00000000000001,0.19399999999999998,0.496,0.278,-5.100000000000023,0.277,2025,2026-03-18
California,0.275,california,0.42700000000000005,0.573,0.505,0.363,0.522,72.1,107.4,101.69999999999999,0.145,0.538,0.22399999999999998,5.700000000000017,0.15200000000000002,2025,2026-03-18
Campbell,0.308,campbell,0.369,0.631,0.512,0.32299999999999995,0.501,71.5,106.4,110.2,0.172,0.449,0.313,-3.799999999999997,0.061,2025,2026-03-18
Canisius,0.22699999999999998,canisius,0.395,0.605,0.44,0.33299999999999996,0.46299999999999997,66.3,93.89999999999999,107.60000000000001,0.191,0.554,0.26899999999999996,-13.700000000000017,0.16800000000000004,2025,2026-03-18
Charleston,0.297,charleston,0.381,0.619,0.534,0.306,0.505,70.9,106.2,104.2,0.153,0.526,0.278,2.0,0.08400000000000002,2025,2026-03-18
Charleston So,0.223,charleston so,0.495,0.505,0.546,0.35600000000000004,0.541,77.3,104.69999999999999,104.69999999999999,0.18,0.549,0.281,0.0,0.272,2025,2026-03-18
Charlotte,0.262,charlotte,0.45399999999999996,0.546,0.5379999999999999,0.35200000000000004,0.534,67.2,108.60000000000001,110.5,0.17600000000000002,0.516,0.32,-1.8999999999999915,0.19199999999999995,2025,2026-03-18
Chattanooga,0.22399999999999998,chattanooga,0.49200000000000005,0.508,0.5579999999999999,0.35,0.542,68.9,107.60000000000001,113.3,0.141,0.556,0.201,-5.699999999999989,0.26800000000000007,2025,2026-03-18
Chicago St,0.228,chicago st,0.309,0.691,0.44,0.321,0.45299999999999996,68.2,95.5,112.20000000000002,0.151,0.503,0.23800000000000002,-16.700000000000017,0.08099999999999999,2025,2026-03-18
Cincinnati,0.221,cincinnati,0.43799999999999994,0.562,0.502,0.33899999999999997,0.505,71.0,103.0,95.19999999999999,0.166,0.637,0.29,7.800000000000011,0.21699999999999994,2025,2026-03-18
Clemson,0.27699999999999997,clemson,0.429,0.5710000000000001,0.5379999999999999,0.341,0.526,67.2,110.3,99.3,0.14,0.502,0.264,11.0,0.15200000000000002,2025,2026-03-18
Cleveland St,0.27,cleveland st,0.508,0.49200000000000005,0.52,0.375,0.542,73.2,107.3,121.10000000000001,0.174,0.579,0.23600000000000002,-13.800000000000011,0.238,2025,2026-03-18
Coastal Car,0.242,coastal car,0.431,0.569,0.461,0.335,0.479,71.2,100.8,103.3,0.15,0.404,0.256,-2.5,0.189,2025,2026-03-18
Colgate,0.225,colgate,0.35,0.65,0.532,0.35600000000000004,0.5329999999999999,70.1,107.80000000000001,108.7,0.14300000000000002,0.514,0.244,-0.8999999999999915,0.12499999999999997,2025,2026-03-18
Colorado,0.265,colorado,0.35100000000000003,0.649,0.5329999999999999,0.353,0.532,72.3,110.60000000000001,109.89999999999999,0.141,0.557,0.272,0.700000000000017,0.08600000000000002,2025,2026-03-18
Colorado St,0.27899999999999997,colorado st,0.49,0.51,0.573,0.391,0.58,65.5,114.8,109.4,0.182,0.63,0.28,5.3999999999999915,0.21100000000000002,2025,2026-03-18
